# peacockdb cost-model calibration record (#153) — BARE-cuDF source.
# Column meanings are defined in peacockdb-core/tests/common/record.rs. What is
# specific to this source:
# node_type = the cuDF entry point, not a plan node: this chain has no plan.
# node_seq = position in the hand-written chain, restarted per execute() call. The
#   benchmark runs the chain several times, so a (query, label, node_seq) has one
#   row per run and they are repeated samples, not distinct regions.
# label = load or execute. The parquet read happens once, outside the timed chain.
# peacock_host_us = 0 by construction, not by measurement. There is no host
#   prologue here to measure — that absence is the whole point of this source.
# partitions/partition = 1/0 always: one stream, no partitioning.
# cuda_bytes = the mapped call's OUTPUT bytes, under the same formula the node
#   source uses (peacock::logical_size_from_table).
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
cudf	tpch	40	q6	execute	5	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1603	1602	1603	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	6	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1608	1607	1608	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	7	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1618	1617	1618	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	8	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1640	1639	1640	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	9	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1632	1631	1632	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	10	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1632	1631	1632	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	11	cudf::binary_operation	cuda_filter_bytes	1	0	0	0	240012290	60003074	60003074	0	1634	1633	1634	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	12	cudf::apply_boolean_mask	cuda_filter_bytes	1	0	0	0	4565749	147245406	147245406	0	852	851	852	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	13	cudf::binary_operation	cuda_project_bytes	1	0	0	0	4565749	73622703	73622703	0	143	141	143	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q6	execute	14	cudf::reduce	cuda_aggregate_bytes	1	0	0	0	1	16	16	0	70	69	70	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q1	load	0	cudf::io::read_parquet	storage_read_bytes	1	0	0	0	240012290	11250576107	11250576107	0	399530	399528	399530	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
cudf	tpch	40	q1	execute	0	cudf::cast	cuda_project_bytes	1	0	0	0	240012290	3870198177	3870198177	0	1415	1414	1415	events	Release	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
