# peacockdb cost-model calibration record (#153). One row per timed region — per
# (node, output partition), not per node: the partitioned branches time each partition
# separately, and a hash repartition bills its shared concat+scatter prologue to p0.
# source = which engine produced the row. peacockdb pays a host prologue that bare cuDF
#   has no analogue for; that difference is what const_peacock is fitted to, so rows
#   from the two sources are not interchangeable.
# peacock_host_us = host time before the region's first device touch.
# cudf_host_us = host time from that touch to the end of the region. Under
#   timing_mode=sync it CONTAINS the device execution and device_us is 0; under events
#   it does not. Not launch cost in either mode — cuDF and rmm synchronize internally.
# device_us = between the region's CUDA events. events mode only.
# wall_us = peacock_host_us + cudf_host_us, the host side of the region.
# cuda_bytes = the bytes this region's category is charged for; the regressor. Equal to
#   out_bytes on the peacockdb source, the mapped call's bytes on the bare-cuDF one.
# in_rows/in_bytes = summed over ALL children, unlike the .cpu.txt golden, which
#   renders the first child's.
# hbm_bytes is NOT here: it comes from Nsight and joins on (query, node_seq).
# timing_mode, build_profile and allocator each change what the microseconds MEAN. Rows
#   disagreeing on any of them are not comparable — hence columns, not a run heading.
source	dataset	sf	query	label	node_seq	node_type	category	partitions	partition	in_rows	in_bytes	out_rows	out_bytes	cuda_bytes	peacock_host_us	cudf_host_us	device_us	wall_us	timing_mode	build_profile	allocator
peacockdb	tpcds	1	q10	full_table-tp1-standard	18	GpuFilterExec	cuda_filter_bytes	1	0	73049	1780572	120	975	975	22	152	152	174	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	17	GpuScanExec	storage_read_bytes	1	0	0	0	73049	1780572	1780572	2	17324	17322	17326	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	20	GpuScanExec	storage_read_bytes	1	0	0	0	719384	11689990	11689990	6	6947	6946	6953	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	30	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	54337	882978	54337	882978	882978	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	29	GpuHashJoinExec	cuda_hash_join_bytes	1	0	1441668	23426131	54337	882978	882978	2	426	425	428	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	27	GpuCoalesceBatchesExec	cuda_passthrough_bytes	1	0	120	975	120	975	975	0	0	0	0	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	26	GpuFilterExec	cuda_filter_bytes	1	0	73049	1780572	120	975	975	22	150	149	172	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	25	GpuScanExec	storage_read_bytes	1	0	0	0	73049	1780572	1780572	2	17150	17149	17152	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q10	full_table-tp1-standard	28	GpuScanExec	storage_read_bytes	1	0	0	0	1441548	23425156	23425156	6	8014	8013	8020	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
peacockdb	tpcds	1	q11	full_table-tp1-standard	60	GpuSortExec	cuda_sort_bytes	1	0	90	4093	90	4093	4093	2	1076	1075	1078	events	benchmarks opt-level=3	rmm-pool initial=118.3GiB max=132.3GiB of 139.2GiB free on a discrete device
